Código Institución,Código Modular,Anexo,Nombre de SS.EE.,Ubigeo,Departamento,Provincia,Distrito,Código DRE/UGEL,DRE / UGEL,Centro Poblado,Código Centro Poblado,Código Local,Dirección,Nivel / Modalidad,Gestion / Dependencia,Latitud,Longitud,Altitud,Fuente de coordenadas
20175151.0,593855,0,17136,10205,AMAZONAS,BAGUA,IMAZA,10009,IBIR-IMAZA,WAWICO,129495,4300.0,WAWICO S/N,Primaria,Pública - Sector Educación,-4.93612029,-78.20202327,291,MED_GPS (LOCAL)
20182997.0,1620616,0,304,10205,AMAZONAS,BAGUA,IMAZA,10009,IBIR-IMAZA,WAWICO,129495,685181.0,WAWICO,Inicial - Jardín,Pública - Sector Educación,-4.93586467,-78.20247571,292,UGEL_GPS (LOCAL)
22870841.0,918078,0,ANDRES AVELINO CACERES,10205,AMAZONAS,BAGUA,IMAZA,10009,IBIR-IMAZA,WAWICO,129495,4833.0,WAWICO S/N,Secundaria,Pública - Sector Educación,-4.9365,-78.2011,294,GPS_OTRAS_FUENTES (LOCAL)
26188660.0,491845,0,16725,10205,AMAZONAS,BAGUA,IMAZA,10009,IBIR-IMAZA,WAYAMPIAK,517445,4197.0,WAYAMPIAK S/N,Primaria,Pública - Sector Educación,-4.86808094,-78.52239505,594,MED_GPS (LOCAL)
24582711.0,1379403,0,16725,10205,AMAZONAS,BAGUA,IMAZA,10009,IBIR-IMAZA,WAYAMPIAK,517445,726539.0,WAYAMPIAK,Secundaria,Pública - Sector Educación,-4.87058414,-78.52112348,597,MED_GPS (LOCAL)
20180757.0,918227,0,260,10205,AMAZONAS,BAGUA,IMAZA,10009,IBIR-IMAZA,WAYAMPIAK,517445,3701.0,WAYAMPIAK,Inicial - Jardín,Pública - Sector Educación,-4.8687358,-78.52406143,611,MED_GPS (LOCAL)
20176482.0,708214,0,17160,10205,AMAZONAS,BAGUA,IMAZA,10009,IBIR-IMAZA,WEE,545156,4526.0,WEE,Primaria,Pública - Sector Educación,-4.784688,-78.3683,405,GPS_OTRAS_FUENTES (LOCAL)
26643813.0,3056355,0,481,10205,AMAZONAS,BAGUA,IMAZA,10009,IBIR-IMAZA,WEE,680472,915945.0,WEE,Inicial - Jardín,Pública - Sector Educación,-4.782593,-78.320653,325,MED_REG (LOCAL)
26110025.0,1620582,0,297,10205,AMAZONAS,BAGUA,IMAZA,10009,IBIR-IMAZA,WEE PUMPU,682327,685157.0,WEE PUMPU,Inicial - Jardín,Pública - Sector Educación,-4.90991,-78.35136,337,UBICACION_WEB (LOCAL)
20178388.0,503284,0,17350,10205,AMAZONAS,BAGUA,IMAZA,10009,IBIR-IMAZA,WICHIM,150001,4871.0,WICHIM S/N,Primaria,Pública - Sector Educación,-5.2734,-78.3503,420,GPS_OTRAS_FUENTES (LOCAL)
